Station,Station2,Station3,Bloom_chase,Sample_Depth,Year,Date,Month,Station_depth,Secchi,Surf_Temp,SpCond,PAR,DO,Turbidity,TP,TDP,SRP,NH4,NO3,Urea,SiO2,Cl,TSS,VSS,POC,PON,DOC,CDOM,Chla,PC,part_microcystin,diss_microcystin,totalcyanos_cells,totalcyanos_biovol,Latitude,Longitude
LE1,other,other,,0.75,2008,6/26/2008,6,,3.4,,,,,,21.67,,,,,,,,,,,,,,1.54,,0.02,,,,41.75,-83.104
LE2,other,other,,0.75,2008,6/26/2008,6,,4.9,,,,,,22.61,,,,,,,,,,,,,,2.15,,0.01,,,,41.821,-83.186
LE3,other,other,,0.75,2008,6/26/2008,6,,3.2,,,,,,58.16,,,,,,,,,,,,,,1.72,,0.01,,,,41.788,-83.356
LE4,other,other,,0.75,2008,6/26/2008,6,,2.2,,,,,,71.25,,,,,,,,,,,,,,2.22,,0.03,,,,41.742,-83.401
LE5,other,other,,0.75,2008,6/26/2008,6,,0.2,,,,,,245.25,,,,,,,,,,,,,,51.2,,0.13,,,,41.716,-83.455
LE6,other,other,,0.75,2008,6/26/2008,6,,1.4,,,,,,39.45,,,,,,,,,,,,,,9.6,,0.03,,,,41.733,-83.297
LE7,other,other,,0.75,2008,6/26/2008,6,,2.4,,,,,,18.87,,,,,,,,,,,,,,5.77,,0.01,,,,41.7155,-83.2
LE8,other,other,,0.75,2008,6/26/2008,6,,1.9,,,,,,30.09,,,,,,,,,,,,,,4.77,,0.02,,,,41.8322,-83.28
LE9,other,other,,0.75,2008,6/26/2008,6,,2.5,,,,,,27.28,,,,,,,,,,,,,,1.74,,0.01,,,,41.85,-83.08
LE10,other,other,,0.75,2008,6/26/2008,6,,2.4,,,,,,35.7,,,,,,,,,,,,,,14.13,,0.01,,,,41.89116,-83.1963
LE13,other,other,,0.75,2008,6/26/2008,6,,3.9,,,,,,36.64,,,,,,,,,,,,,,2.45,,0.01,,,,41.67512,-83.12278
LE1,other,other,,0.75,2008,8/4/2008,8,,,,,,,,28.07,,,,,,,,,,,,,,5.52,,0.04,,,,41.75,-83.104
LE2,other,other,,0.75,2008,8/4/2008,8,,4,,,,,,22.52,,,,,,,,,,,,,,2.53,,0.04,,,,41.821,-83.186
LE3,other,other,,0.75,2008,8/4/2008,8,,2,,,,,,40.11,,,,,,,,,,,,,,5.24,,0.16,,,,41.788,-83.356
LE4,other,other,,0.75,2008,8/4/2008,8,,1.4,,,,,,52.14,,,,,,,,,,,,,,4.64,,0.16,,,,41.742,-83.401
LE5,other,other,,0.75,2008,8/4/2008,8,,0.3,,,,,,120.63,,,,,,,,,,,,,,45,,0.03,,,,41.716,-83.455
LE6,other,other,,0.75,2008,8/4/2008,8,,1.4,,,,,,38.25,,,,,,,,,,,,,,12,,0.12,,,,41.733,-83.297
LE7,other,other,,0.75,2008,8/4/2008,8,,2.4,,,,,,29,,,,,,,,,,,,,,4.92,,0.06,,,,41.7155,-83.2
LE8,other,other,,0.75,2008,8/4/2008,8,,3.1,,,,,,27.15,,,,,,,,,,,,,,7.44,,0.05,,,,41.8322,-83.28
LE9,other,other,,0.75,2008,8/4/2008,8,,3.2,,,,,,18.82,,,,,,,,,,,,,,4.72,,0.28,,,,41.85,-83.08
LE13,other,other,,0.75,2008,8/4/2008,8,,3.4,,,,,,23.45,,,,,,,,,,,,,,2.9,,0.19,,,,41.67512,-83.12278
LE1,other,other,,0.75,2008,9/3/2008,9,,0.6,,,,,,73.42,,,,,,,,,,,,,,23.91,,1.88,,,,41.75,-83.104
LE2,other,other,,0.75,2008,9/3/2008,9,,1.2,,,,,,56.77,,,,,,,,,,,,,,58.8,,2.45,,,,41.821,-83.186
